tree,leaf,predawn,date,status
2367,1,1,11/5/2024,preburn
2367,2,1.6,11/5/2024,preburn
2367,3,2.3,11/5/2024,preburn
2367,4,1.9,11/5/2024,preburn
2367,5,1.98,11/5/2024,preburn
2367,6,1.79,11/5/2024,preburn
2384,1,3.5,11/5/2024,preburn
2384,2,3.3,11/5/2024,preburn
2384,3,3.2,11/5/2024,preburn
2301,1,1.22,11/5/2024,preburn
2301,2,1.43,11/5/2024,preburn
2301,3,1.459,11/5/2024,preburn
2011,1,2.85,11/5/2024,preburn
2011,2,2.97,11/5/2024,preburn
2011,3,2.43,11/5/2024,preburn
2011,4,1.19,11/5/2024,preburn
2011,5,2.35,11/5/2024,preburn
2011,6,2.28,11/5/2024,preburn
2010,1,2.81,11/5/2024,preburn
2010,2,2.77,11/5/2024,preburn
2010,3,2.624,11/5/2024,preburn
2382,1,2.853,11/5/2024,preburn
2382,2,2.542,11/5/2024,preburn
2382,3,3.306,11/5/2024,preburn
2382,4,2.409,11/5/2024,preburn
2382,5,3.1,11/5/2024,preburn
2382,6,2.889,11/5/2024,preburn
2354,1,0.487,11/5/2024,preburn
2354,2,0.326,11/5/2024,preburn
2354,3,0.305,11/5/2024,preburn
136,1,2.2,11/5/2024,preburn
136,2,2.535,11/5/2024,preburn
136,3,2.051,11/5/2024,preburn
136,4,1.845,11/5/2024,preburn
136,5,2.295,11/5/2024,preburn
114,1,0.289,11/5/2024,preburn
114,2,0.26,11/5/2024,preburn
114,3,1.057,11/5/2024,preburn
114,4,0.854,11/5/2024,preburn
114,5,0.974,11/5/2024,preburn
70,1,1.084,11/5/2024,preburn
70,2,1.231,11/5/2024,preburn
70,3,1.233,11/5/2024,preburn
118,1,2.18,11/5/2024,preburn
118,2,1.66,11/5/2024,preburn
118,3,2.094,11/5/2024,preburn
118,4,2.109,11/5/2024,preburn
103,1,0.537,11/5/2024,preburn
103,2,0.417,11/5/2024,preburn
103,3,0.52,11/5/2024,preburn
66,1,0.431,11/5/2024,preburn
66,2,0.423,11/5/2024,preburn
66,3,0.419,11/5/2024,preburn
106,1,1.482,11/5/2024,preburn
106,2,1.65,11/5/2024,preburn
106,3,1.815,11/5/2024,preburn
106,4,1.613,11/5/2024,preburn
102,1,0.502,11/5/2024,preburn
102,2,0.609,11/5/2024,preburn
102,3,0.412,11/5/2024,preburn
69,1,1.716,11/5/2024,preburn
69,2,2.14,11/5/2024,preburn
69,3,2.412,11/5/2024,preburn
132,1,0.263,11/5/2024,preburn
132,2,0.25,11/5/2024,preburn
132,3,0.35,11/5/2024,preburn
77,1,0.482,11/5/2024,preburn
77,2,0.558,11/5/2024,preburn
77,3,0.522,11/5/2024,preburn
79,1,0.465,11/5/2024,preburn
79,2,0.377,11/5/2024,preburn
79,3,0.626,11/5/2024,preburn
79,4,0.439,11/5/2024,preburn
101,1,0.346,11/5/2024,preburn
101,2,0.263,11/5/2024,preburn
101,3,0.218,11/5/2024,preburn
104,1,1.298,11/5/2024,preburn
104,2,1.57,11/5/2024,preburn
104,3,1.298,11/5/2024,preburn
104,4,1.452,11/5/2024,preburn
73,1,0.311,11/5/2024,preburn
73,2,0.747,11/5/2024,preburn
73,3,0.466,11/5/2024,preburn
73,4,0.752,11/5/2024,preburn
73,5,0.81,11/5/2024,preburn
115,1,1.058,11/5/2024,preburn
115,2,1.01,11/5/2024,preburn
115,3,1.049,11/5/2024,preburn
127,1,0.418,11/5/2024,preburn
127,2,0.537,11/5/2024,preburn
127,3,0.346,11/5/2024,preburn
121,1,0.249,11/5/2024,preburn
121,2,0.3,11/5/2024,preburn
121,3,0.234,11/5/2024,preburn
78,1,0.407,11/5/2024,preburn
78,2,0.337,11/5/2024,preburn
78,3,0.381,11/5/2024,preburn
105,1,0.849,11/5/2024,preburn
105,2,1.024,11/5/2024,preburn
105,3,1.44,11/5/2024,preburn
105,4,1.374,11/5/2024,preburn
105,5,1.414,11/5/2024,preburn
74,1,1.244,11/5/2024,preburn
74,2,0.852,11/5/2024,preburn
74,3,0.501,11/5/2024,preburn
74,4,1.6,11/5/2024,preburn
74,5,1.273,11/5/2024,preburn
74,6,0.904,11/5/2024,preburn
116,1,0.873,11/5/2024,preburn
116,2,1.073,11/5/2024,preburn
116,3,0.993,11/5/2024,preburn
81,1,0.302,11/5/2024,preburn
81,2,1.525,11/5/2024,preburn
81,3,0.538,11/5/2024,preburn
81,4,1.379,11/5/2024,preburn
134,1,0.32,11/5/2024,preburn
134,2,0.49,11/5/2024,preburn
134,3,0.271,11/5/2024,preburn
122,1,0.76,11/5/2024,preburn
122,2,0.743,11/5/2024,preburn
122,3,0.621,11/5/2024,preburn
120,1,0.327,11/5/2024,preburn
120,2,0.204,11/5/2024,preburn
120,3,0.272,11/5/2024,preburn
131,1,0.337,11/5/2024,preburn
131,2,0.624,11/5/2024,preburn
131,3,0.366,11/5/2024,preburn
131,4,0.328,11/5/2024,preburn
76,1,0.414,11/5/2024,preburn
76,2,0.4,11/5/2024,preburn
76,3,0.519,11/5/2024,preburn
123,1,2.479,11/5/2024,preburn
123,2,1.845,11/5/2024,preburn
123,3,1.44,11/5/2024,preburn
123,4,1.721,11/5/2024,preburn
123,5,1.56,11/5/2024,preburn
67,1,1.065,11/5/2024,preburn
67,2,1.98,11/5/2024,preburn
67,3,2.77,11/5/2024,preburn
67,4,1.72,11/5/2024,preburn
67,5,2.387,11/5/2024,preburn
67,6,1.573,11/5/2024,preburn
82,1,0.44,11/5/2024,preburn
82,2,0.35,11/5/2024,preburn
82,3,0.645,11/5/2024,preburn
82,4,0.63,11/5/2024,preburn
82,5,0.64,11/5/2024,preburn
68,1,0.57,11/5/2024,preburn
6,2,0.434,11/5/2024,preburn
68,3,0.644,11/5/2024,preburn
125,1,1.2,11/5/2024,preburn
125,2,1.28,11/5/2024,preburn
125,3,1.45,11/5/2024,preburn
86,1,0.256,11/5/2024,preburn
86,2,0.308,11/5/2024,preburn
86,3,0.459,11/5/2024,preburn
81,1,0.887,11/5/2024,preburn
81,2,1.01,11/5/2024,preburn
81,3,1.22,11/5/2024,preburn
81,4,1.079,11/5/2024,preburn
72,1,0.277,11/5/2024,preburn
72,2,0.356,11/5/2024,preburn
72,3,0.252,11/5/2024,preburn
100,1,0.566,11/5/2024,preburn
100,2,0.427,11/5/2024,preburn
100,3,0.81,11/5/2024,preburn
100,4,0.47,11/5/2024,preburn
